"","address","lon","lat"
"109","9201 HOMESTEAD RD",-95.3024298,29.8453149
"110","10910 AIRLINE DR",-95.4045495,29.914927
"111","11302 SPACE CENTER BLVD STE A",-95.1434512,29.6305755
"112","9703 MILLS RD",-95.5648454,29.9584879
"113","1421 E SAM HOUSTON PKWY S",-95.152696,29.6898528
"114","612 CENTER ST",-92.2739359,34.7429314
"115","2925 WALNUT BEND LN",-95.5673892,29.7317301
"116","9900 GALVESTON RD",-95.1981475,29.6226914
"117","10445 BISSONNET ST",-95.5622817,29.6738922
"118","6024 GULFTON ST",-95.4879606,29.7167314
"119","105 HIGHWAY 146 S",-94.7421301,30.2470263
"120","502 W MOUNT HOUSTON RD",-95.4089473,29.8981004
"121","4110 AIRPORT BLVD",-95.3630831,29.6454168
"122","11303 BISSONNET ST",-95.5776044,29.6742195
"123","9655 HONEYWELL ST",NA,NA
"124","1080 UPTOWN PARK BLVD",-95.4582464,29.7575809
"125","17356 NORTHWEST FWY",-95.5801894,29.8892936
"126","2221 RED BLUFF RD",-95.1806431,29.6996874
"127","1130 FREEPORT ST",-95.1781676,29.7736764
"128","3635 HILLCROFT ST",-95.5008667,29.7261205
"129","1025 W NASA RD 1",-95.1275279,29.5305847
"130","6102 BISSONNET ST STE A",-95.4892158,29.6972126
"131","209 S 75TH ST",-95.2926784,29.7305553
"132","2350 PEASE ST",-95.3577556,29.7444388
"133","7748 HARRISBURG BLVD",-95.2864204,29.7305706
"134","2607 S RICHEY ST",-95.2277687,29.6802391
"135","1418 GEARS RD",-95.4442034,29.9462252
"136","5104 S SHAVER ST",-95.2118248,29.6370333
"137","7050 SW FWY",-95.5095954,29.7084819
"138","9615 KEMPWOOD DR",-95.5306847,29.8213931
"139","13819 CYPRESS NORTH HOUSTON RD",-95.6303845,29.9464969
"140","702 W GRAY ST",-95.3892043,29.7536139
"141","1301 RICHEY ST",-95.2192864,29.6903213
"142","2510 BERRY RD",-95.3464272,29.8375047
"143","417 TRAVIS ST",-95.362416,29.761303
"144","3502 MANGUM RD",-95.4590448,29.820828
"145","2204 RED BLUFF RD",-95.1820489,29.69961
"146","644 MAXEY RD STE A",-95.2194496,29.78136
"147","3602 S SHAVER ST # A",NA,NA
"148","13075 KUYKENDAHL RD # A",NA,NA
"149","7702 BELLFORT ST",-95.5113496,29.6565269
"150","14050 STATE HIGHWAY 249",-95.4960522,29.9227294
"151","754 NORMANDY ST",-95.2051794,29.7836351
"152","5815 FRANZ RD STE B",-95.8244232,29.8010895
"153","14648 WALTERS RD # 102",NA,NA
"154","4103 W BELLFORT ST",-95.4445132,29.6728784
"155","6513B WESTHEIMER RD",-95.4997194,29.7372635
"156","6418 SPENCER HWY",-95.1398145,29.6647929
"157","9450 AIRLINE DR",-95.3973091,29.8950843
"158","4700 FM 1942 RD",-94.994494,29.8505478
"159","14561 BEECHNUT ST",-95.6424884,29.6892299
"160","5805 PINEMONT DR",-95.4737262,29.8406175
"161","13626 VETERANS MEMORIAL DR STE H",-95.4947821,29.9838905
"162","9822 N HOUSTON ROSSLYN RD",-95.4940174,29.8852438
"163","3 E GREENWAY PLZ",-95.4313403,29.7315925
"164","500 DALLAS ST STE T9",-95.3706198,29.7577289
"165","21003 HUFSMITH KOHRVILLE RD",-95.5896686,30.0698217
"166","14646 ALDERSON ST",-95.1612497,29.7879691
"167","7610 OFFICE CITY DR STE B",-95.2865263,29.7001164
"168","1204 CAROLINE ST",-95.3640564,29.7539291
"169","7777 W GULF BANK RD",-95.5067472,29.8791726
"170","23221 ALDINE WESTFIELD RD STE L",-95.388352,30.0481505
"171","806 RICHMOND AVE",-82.3371565,31.2169175
"172","7042 BISSONNET ST",-95.5061524,29.6885687
"173","2313 BAGBY ST STE B",-95.3777613,29.749825
"174","5420 HIGHWAY 6 N",-95.6438127,29.8559359
"175","5104 LOCKWOOD DR",-95.3164179,29.8070873
"176","254 1ST ST #254",NA,NA
"177","4221 YELLOWSTONE BLVD",-95.3565632,29.6922325
"178","10707 W LITTLE YORK RD",-95.5647019,29.8668118
"179","11414 RICHMOND AVE STE A",-95.5807228,29.7286706
"180","245 EL DORADO BLVD",-95.1490508,29.5570329
"181","7339 SPENCER HWY",-95.1261127,29.6639969
"182","777 SHELDON RD STE D",-95.1253733,29.7868806
"183","11203 BEECHNUT ST",-95.574842,29.6876673
"184","9806 N HOUSTON ROSSLYN RD",-95.4937372,29.8850923
"185","5601 SOUTHWEST FWY",-95.4769824,29.7251692
"186","13205 EAST FWY",-95.1923189,29.771578
"187","10602 FUQUA ST",-95.2275102,29.6109091
"188","6150 SPENCER HWY",-95.1466276,29.6652167
"189","6074 FM 2920 RD",-95.5178537,30.0756061
"190","11302 HUFFMEISTER RD",-95.628442,29.9390793
"191","13204 FM 529 RD",-95.6124494,29.8797291
"192","11300 WEST RD STE H",-95.5913922,29.9087751
"193","14850 WUNDERLICH DR",-95.5120749,29.9955045
"194","743 N SAM HOUSTON PKWY E",-95.383833,29.9399848
"195","5800 ALMEDA RD",-95.381267,29.7163082
"196","3250 OLD SPANISH TRL",-95.3764521,29.7005205
"197","2100 HAMILTON ST",-75.173467,39.962372
"198","17141 EAST FWY",-95.0901298,29.7913962
"199","1999 CYPRESS CREEK PKWY",-95.4585634,30.0095185
"200","21502 ALDINE WESTFIELD RD STE D",-95.3802549,30.0274167
"201","6019 ALMEDA RD",-95.381543,29.7138721
"202","15605 ALDINE WESTFIELD RD",-95.357845,29.946774
"203","108 W GREENS RD",-95.4183782,29.9497643
"204","7555 SCOTT ST",-95.3657721,29.6815734
"205","6625 SCOTT ST",-95.3611413,29.6936722
"206","5243 LARKIN ST",-95.4157617,29.7789871
"207","204 N BENDER AVE",-95.2673418,30.0000095
"208","3207 GREENHOUSE RD",-95.7041542,29.815249
"209","19240 W LITTLE YORK RD",-95.7055523,29.8653831
"210","6241 WESTHEIMER RD",-95.4943723,29.7372371
"211","10050 LONG POINT RD",-95.5421241,29.7949954
"212","12814 HEMPSTEAD RD",-95.5048312,29.8344967
"213","4725 TELEPHONE RD",-95.2982438,29.6918367
"214","10341 PALESTINE ST",-95.245716,29.7668823
"215","11132 ALDINE WESTFIELD RD",-95.3551173,29.8792208
"216","5859 BISSONNET ST",-95.4840742,29.6993511
"217","3030 HOPPER RD",-95.3397866,29.8792605
"218","5035 FM 2920 RD",-95.4974043,30.0735249
"219","11120 NORTH FWY STE A",-95.410727,29.926972
"220","3944 BROADWAY ST",-86.1464981,39.8279573
"221","7909 WESTHEIMER RD",-95.5066037,29.7371132
"222","7590 FALLBROOK DR STE 5",-95.5021514,29.9247611
"223","8449 ALMEDA GENOA RD",-95.2670766,29.6267064
"224","14623 BUFFALO SPEEDWAY",-95.4302378,29.6142133
"225","13403 STATE HIGHWAY 249",-95.4884123,29.9155437
"226","416 RICHEY ST",-95.2201835,29.7059908
"227","1800 SOUTHMORE AVE",-95.1874078,29.6912997
"228","8095 SPENCER HWY STE A",-95.1135891,29.6642577
"229","426 CROSSTIMBERS ST",-95.3940093,29.8282069
"230","10104 LA PORTE FWY",-95.2443968,29.7053294
"231","1407 N MAIN ST",-95.9965816,36.1754514
"232","7914 THOMPSON RD",-95.0327536,29.8110427
"233","11410 LOUETTA RD",-95.5904175,29.996833
"234","5428 CHIMNEY ROCK RD",-95.4769824,29.7222372
"235","5720 RICHMOND AVE",-95.4797063,29.7320706
"236","2505 W BAY AREA BLVD",-95.1612011,29.5318513
"237","902 W PASADENA FWY",-95.2205312,29.7108473
"238","9247 MANCHESTER ST",-95.2626079,29.7186646
"239","8443 AIRLINE DR",-95.3915625,29.8829053
"240","760 W GULF BANK RD",-95.4138629,29.8894484
"241","435 NORTH LOOP W",-95.4051362,29.8123226
"242","8320A GULF FWY # A",NA,NA
"243","9405 LONG POINT RD",-95.5247199,29.797368
"244","1906 CHAPMAN ST",-95.3536491,29.778586
"245","4730 BRINKMAN ST",-95.4159232,29.8344316
"246","5001 TREASCHWIG RD STE A",-95.3549895,30.0410486
"247","7523 LONG POINT RD STE A100A200",-95.4786413,29.8024602
"248","625 TIDWELL RD STE A",-95.3663944,29.8464104
"249","1000 MAIN ST STE T16",-95.3659038,29.7567954
"250","808 TRAVIS ST # T-08",NA,NA
"251","1001 FANNIN ST STE M170",-95.3639415,29.7557923
"252","6566 MARINETTE DR",-95.5191359,29.7087363
"253","9818 FRY RD STE 120",-95.7264856,29.9286579
"254","2850 W GRAND PKWY N",-95.7713397,29.815669
"255","611 E WALLISVILLE RD",-95.0490842,29.8188211
"256","1201 AIRTEX DR STE A",-95.401686,29.9835918
"257","3520 LIBERTY RD",-76.748051,39.349482
"258","3599 SPRING STUEBNER RD",-95.4716849,30.082344
"259","11402 N HOUSTON ROSSLYN RD",-95.4950279,29.8966002
"260","857 W TIDWELL RD",-95.414532,29.8463878
"261","17550 W LITTLE YORK RD STE 1",-95.6752221,29.865801
"262","2919 BARKER CYPRESS RD STE K",-95.6879558,29.8111689
"263","8003 HOWARD DR",-95.2665256,29.6770831
"264","8500 ALMEDA GENOA RD STE 101",-95.2658495,29.626027
"265","13051 FM 529 RD",-95.6075231,29.8792173
"266","6550 RANCHESTER DR",-95.5457737,29.7074936
"267","8800 1-2 BROADWAY ST",-74.0145948,40.7049687
"268","507 W PATTON ST STE A",-95.3724043,29.7978848
"269","1402 SOUTHMORE AVE",-95.1928895,29.6912434
"270","1 BIRDSALL ST",-95.4198513,29.7595169
"271","6458 W LITTLE YORK RD",-95.4854843,29.8667702
"272","10096 S GESSNER DR",-95.5314771,29.6884149
"273","4409 TREASCHWIG RD STE 115",-95.3633283,30.0364786
"274","9002 CHESWICK DR",-95.404945,29.889149
"275","9309 N WAYSIDE DR",-95.2852199,29.8481895
"276","13954 OLD HUMBLE RD",-95.302389,29.9223317
"277","1419 NASA PKWY",-95.0991624,29.5486288
"278","26281 NORTHWEST FWY STE 150",-95.7015638,29.9726868
"279","3606 IRVINGTON BLVD",-95.3605486,29.7935855
"280","5757 BELLAIRE BLVD",-95.4821845,29.7052413
"281","1302 BLALOCK RD",-95.5207129,29.7923741
"282","9335 HOWARD DR",-95.240576,29.6838865
"283","6201 N FRY RD",-95.7209328,29.8649889
"284","4401 LOCKWOOD DR",-95.3172564,29.8006486
"285","7071 LAWNDALE ST",-95.2957126,29.7182049
"286","8763 LONG POINT RD",-95.5062554,29.8026675
"287","9602 SOUTHWEST FWY",-95.5432517,29.6753648
"288","4740 KATY FWY",-95.4089473,29.778339
"289","6531 W 43RD ST",-95.4884932,29.8327721
"290","195 ALDINE BENDER RD",-95.4023507,29.9321683
"291","14230 STATE HIGHWAY 249",-95.4985721,29.9242235
"292","11503 MOONGLOW DR",-95.4503244,29.8980434
"293","9440 LOUETTA RD",-95.5546731,30.0046561
"294","1905 CENTER ST",-96.7966412,32.7879731
"295","802 LOUETTA RD",-95.4224702,30.0716815
"296","14814 BROWN RD # 1",NA,NA
"297","9811 SPRING CYPRESS RD",-95.5715167,30.0215685
"298","4950 CYPRESS CREEK PKWY STE B1",-95.504985,29.9853111
"299","910 LOUISIANA ST STE M165",-95.3676617,29.7591146
"300","2524 YALE ST STE 1",-95.3990589,29.810262
"301","28048 STATE HIGHWAY 249 UNIT I",-95.6295716,30.0817975
"302","5216 RICHMOND AVE",-95.4679771,29.7317033
"303","11338 FONDREN RD",-95.508564,29.654756
"304","18323 CLAY RD",-95.6846468,29.8308918
"305","1348 N SHEPHERD DR",-95.409786,29.7959126
"306","6199 GRIGGS RD",-95.3130686,29.7047422
"307","890 WESTGREEN BLVD",-95.7352272,29.7749876
"308","1601 W FAIRMONT PKWY",-95.0351617,29.6510552
"309","310 RITTENHOUSE ST",-95.3718523,29.8642396
"310","2227 NORTHPARK DR",-95.21302,30.0687806
"311","9559 JONES RD",-95.585878,29.9113929
"312","21615 FM 2100 RD",-95.0916961,29.9894073
"313","3002 GREENRIDGE DR",-95.4902139,29.7343198
"314","16633 KUYKENDAHL RD",-95.4722517,30.0180494
"315","16006 BEAUMONT HWY",-95.1493766,29.8583906
"316","8901 S GESSNER DR",-95.5280609,29.6847737
"317","5819 GULF FWY STE 200",-95.3160094,29.7165361
"318","4 MAXEY RD",-95.2194699,29.8019016
"319","5002 S LAKE HOUSTON PKWY",-95.2182786,29.8033765
"320","12410 WALLISVILLE RD",-95.2184505,29.8024378
"321","7330 S LAKE HOUSTON PKWY",-95.2101735,29.8321627
"322","13071 W LAKE HOUSTON PKWY",-95.1887012,29.924971
"323","10813 MARKET STREET RD",-95.2382101,29.7680812
"324","5712 W LITTLE YORK RD",-95.4745526,29.8646256
"325","1535 ELTON ST",-95.2486126,29.6504837
"326","4711 W 34TH ST",-95.4601554,29.8184716
"327","8010 FM 1960 RD E",-95.1529698,30.0028926
"328","2323 CLEAR LAKE CITY BLVD STE 195",-95.140416,29.5923348
"329","10950 CYPRESS CREEK PKWY STE E",-95.5845568,29.9338284
"330","617 SPRING CYPRESS RD",-95.4241275,30.07888
"331","1742 W MOUNT HOUSTON RD",-95.4287239,29.8989555
"332","6333 BARKER CYPRESS RD",-95.6840508,29.8667145
"333","909 E RICHEY RD",-95.3989248,29.9963793
"334","3202 PASADENA FWY",-95.1671567,29.7117208
"335","11242 VETERANS MEMORIAL DR",-95.4656377,29.9454975
"336","1724 AIRLINE DR",-95.3816657,29.802491
"337","201 W BARBOURS CUT BLVD",-95.0211716,29.6727257
"338","4203 E CROSSTIMBERS ST",-95.3286117,29.8295228
"339","24345 GOSLING RD STE 100",-95.5071689,30.1173717
"340","803 S MASON RD STE 410",-95.750636,29.771322
"341","8001 LAWNDALE ST",-95.2788109,29.7160809
"342","4001 W FUQUA ST",-95.4356074,29.612813
"343","24930 ALDINE WESTFIELD RD",-95.4048665,30.0665664
"344","2420 GESSNER DR",-95.5436823,29.8135925
"345","3405 W LITTLE YORK RD",-95.45927,29.863072
"346","8102 W TIDWELL RD STE E",-95.516249,29.85156
"347","11734 BARKER CYPRESS RD STE 104",-95.675625,29.9453972
"348","5814 JENSEN DR",-95.3420137,29.8129782
"349","224 ALDINE BENDER RD",-95.4012838,29.9313352
"350","1018 PRESTON ST STE 100",-95.3607734,29.7609493
"351","9404 NORTH FWY",-95.4115453,29.8986474
"352","6060 VICTORY DR",-91.1296617,30.492384
"353","520 GULF BANK RD TRLR 250",-95.3848337,29.8884126
"354","2204 LOUISIANA ST STE C&D",-95.3751028,29.7494317
"355","10013 W MONTGOMERY RD",-95.4534763,29.8868096
"356","11655 VETERANS MEMORIAL DR",-95.4716374,29.9516665
"357","10850 LOUETTA RD STE 1700",-95.5757991,29.997778
"358","2525 W BAY AREA BLVD STE D",-95.1634258,29.5302425
"359","341 EL DORADO BLVD STE A",-95.1471571,29.5583033
"360","7127 SPENCER HWY STE 100",-95.1290196,29.6639627
"361","11830 AIRLINE DR",-95.4089975,29.927642
"362","3910 ALDINE MAIL RD",-95.3337393,29.9020348
"363","8501 GULF FWY",-95.2620366,29.6713033
"364","20551 INTERSTATE 45 STE D",-95.435239,30.0651257
"365","5902 N SHEPHERD DR",-95.4115044,29.8514694
"366","4006 LILA ST",-95.3307975,29.7874808
"367","6015 BAYWAY DR UNIT A",-95.0366758,29.7525883
"368","1209 CAROLINE ST",-108.4550781,45.8403562
"369","16141 MARKET ST",-95.1147491,29.7767812
"370","5130 WOODWAY DR",-95.4670915,29.7629887
"371","4002 SOUTHWEST FWY",-95.4417882,29.7295721
"372","2470 S DAIRY ASHFORD ST # 283",NA,NA
"373","12340 FLEMING DR",-95.2189277,29.7755102
"374","8601 MARTIN LUTHER KING JR BLVD",-95.3360274,29.6583319
"375","6322 TELEPHONE RD",-95.291058,29.6747992
"376","14344 MEMORIAL DR",-95.5991776,29.7711741
"377","4000 POLK ST",-95.3403892,29.7398151
"378","3300 MONTROSE BLVD",-95.3920737,29.7429242
"379","105 KENNING RD",-95.062204,29.8896384
"380","13133 VETERANS MEMORIAL DR",-95.4915485,29.9767768
"381","1950 EL DORADO BLVD",-95.1203255,29.5779948
"382","1801 S VOSS RD",-95.500197,29.7482323
"383","3410 NORTHPARK DR",-95.1871226,30.0667111
"384","9330 JONES RD",-95.5836751,29.907954
"385","1035 N SHEPHERD DR",-95.4111361,29.7893196
"386","10306 S POST OAK RD",-95.4636655,29.6694668
"387","5150 BUFFALO SPEEDWAY",-95.4295452,29.7267894
"388","19300 W LAKE HOUSTON PKWY",-95.1610367,30.0009892
"389","1300 W FAIRMONT PKWY",-95.0323878,29.6537
"390","6767 SPENCER HWY",-95.1353073,29.6653839
"391","13135 LOUETTA RD",-95.6217475,29.9941861
"392","12620 WOODFOREST BLVD STE 200",-95.200899,29.789982
"393","2619 RED BLUFF RD",-95.1736754,29.6966646
"394","1905 EL MAR LN # 146",NA,NA
"395","1505 WIRT RD",-95.4864653,29.7966814
"396","1520 ELDRIDGE PARKWAY",-95.6274706,29.7573738
"397","14710 WOODFOREST BLVD",-95.1593352,29.7896222
"398","3550 SPENCER HWY",-95.1894863,29.6637302
"399","1938 W GRAY ST",-95.4054248,29.753836
"400","1352 W 43RD ST",-95.4325467,29.828563
"401","5671 TREASCHWIG RD",-95.3480823,30.0456949
"402","9919 WESTHEIMER RD",-95.5448898,29.7362743
"403","8550 HIGHWAY 6 N",-95.6317476,29.902496
"404","18518 KUYKENDAHL RD",-95.486668,30.0400749
"405","360 FM 1960 RD W",-95.4353152,30.021594
"406","9325 KATY FWY",-95.5226047,29.7822004
"407","2300 N GESSNER",-95.5443577,29.8139417
"408","1700 N ALEXANDER DR",-94.9521357,29.7401354
"409","16400 EL CAMINO REAL",-95.1248033,29.5587589
"410","12555 BRIAR FOREST DR",-95.6053884,29.7525682
"411","12400 FM 1960 RD W",-95.6044838,29.924068
"412","8745 SPRING CYPRESS RD",-95.5525331,30.0329345
"413","9125 W SAM HOUSTON PKWY N",-95.5554551,29.9040179
"414","7747 KIRBY DR",-95.415516,29.695869
"415","3135 FM 528 RD",-95.159987,29.5208932
"416","11701 S SAM HOUSTON PKWY E",-95.2148823,29.6027051
"417","10010 CYPRESSWOOD DR",-95.566376,29.9831003
"418","12222 JONES RD",-95.5824462,29.9514861
"419","12434 TOMBALL PKWY",-95.4777945,29.9109345
"420","6060 FM 2920 RD",-95.5169623,30.0752817
"421","17455 SPRING CYPRESS RD",-95.6904014,29.9710205
"422","6350 N ELDRIDGE PKWY",-95.6068015,29.8649384
"423","6055 FRY ROAD",-95.7218508,29.8600848
"424","14060 FM 2920 RD",-95.6344772,30.091948
"425","15802 CHAMPION FOREST DR",-95.5316138,30.0029775
"426","18030 FM 529 RD",-95.6852805,29.8813609
"427","3820 ATASCOCITA RD",-95.21507,29.9789334
"428","1440 STUDEMONT ST",-95.3898652,29.7732316
"429","4975 W BELLFORT ST",-95.4645556,29.6690767
"430","24350 KUYKENDAHL RD",-95.5533149,30.1144886
"431","9703 BARKER CYPRESS RD",-95.6889187,29.9192001
"432","9479 FM 1960 BYPASS RD W",-95.2810953,30.0057231
"433","9475 FM 1960 BYPASS RD W",-95.2813337,30.0071277
"434","12466 FM 1960 RD W",-95.6042457,29.9221087
"435","9125 W SAM HOUSTON PKWY N STE A",-95.5554933,29.903938
"436","3161 E FM 528 RD",-95.1612905,29.5219272
"437","11601 S SAM HOUSTON PKWY E",-95.2155963,29.6020943
"438","8755 SPRING CYPRESS RD",-95.5545705,30.0330824
"439","9703A BARKER CYPRESS RD",-95.6889187,29.9192001
"440","1805 S VOSS RD",-95.5007119,29.7495459
"441","11055 WEST RD",-82.0383378,40.8580131
"442","1049 N SHEPHERD DR",-95.410198,29.790146
"443","3820 ATASCOCITA RD",-95.21507,29.9789334
"444","18518B KUYKENDAHL RD",-95.486668,30.0400749
"445","6057 N FRY RD",-95.7206244,29.8608352
"446","14050 FM 2920 RD",-95.5938905,30.0997276
"447","12557 BRIAR FOREST DR",-95.6049985,29.7535993
"448","10016 CYPRESSWOOD DR",-95.5678225,29.9810409
"449","14909 FAIRFIELD MEADOWS DR",-95.7366671,29.9884719
"450","20355 CYPRESSWOOD DR",-95.7367431,29.9898761
"451","6315 GARTH RD",-94.9819163,29.7928194
"452","6315B GARTH RD",-94.9819163,29.7928194
"453","14221 E SAM HOUSTON PKWY N",-95.2039972,29.9245533
"454","14121 E SAM HOUSTON PKWY N",-95.2020296,29.9248216
"455","2700 W GRAND PKWY N",-95.7702537,29.8126439
"456","2650 W GRAND PARKWAY N",-95.772739,29.8126863
"457","2150 SPRING STUEBNER RD",-95.4429561,30.0831251
"458","2180 SPRING STUEBNER RD",-95.4500278,30.0835748
"459","239 W 20TH ST",-73.998596,40.7430537
"460","8300 W SAM HOUSTON PKWY S # 100",NA,NA
"461","19140 FM 529 RD",-95.7031468,29.88033
"462","4914 1-2 LOCKWOOD DR",-95.3265287,29.7478685
"463","7835 NORTH LOOP E",-95.2854036,29.8049692
"464","6500 MARTIN LUTHER KING JR BLVD",-95.3406243,29.6837141
"465","6533 SHELDON RD",-95.1275309,29.8200353
"466","5145 PRESTON AVE # 150",NA,NA
"467","740 WILCREST DR",-95.5763277,29.7556734
"468","829 W PASADENA FWY",-95.2196441,29.7095191
"469","6800 THOMPSON RD",-95.031006,29.7966308
"470","11650 HEMPSTEAD RD",-95.4833315,29.8188778
"471","3411 ANTOINE DR",-95.4742996,29.8197699
"472","11703 AIRLINE DR",-95.4091294,29.9250725
"473","3500 FAIRMONT PKWY",-95.1905256,29.651343
