"","lon","lat","Location.Name"
"97",-95.6665019,29.9330913,"HOUSTON NATIONAL GOLF CLUB"
"98",-95.6427554,29.8913225,"M & M FOOD MARKET"
"99",-95.6673854,29.8783092,"SMOKIN SECTION"
"100",-95.667899,29.8794359,"COPPERFIELD FOOD MART"
"101",-95.6468945,29.8804211,"TOTAL WINE, SPIRITS, BEER & MO"
"102",-95.668988,29.9178764,"TIME MART #23"
"103",-95.6290583,29.9009828,"WEST VALERO"
"104",-95.6212152,29.9001005,"COUNTRY MART"
"105",-95.6202092,29.8853909,"VICTORY LIQUOR & SMOKE"
"106",-95.6333023,29.9034246,"F J LIQUOR"
"107",-95.6731181,29.8785363,"HOUSTON FM 529 FOOD STORE"
"108",-95.6342534,29.9029909,"SUPER K FOOD STORE"
"109",-95.6202092,29.891247,"TELOLOAPAN MEAT MARKET # 10, I"
"110",-95.6797761,29.8796919,"AL BARAKAH HALAL MEAT"
"111",-95.6308234,29.9050086,"VITRUM SMOKE SHOP"
"112",-95.6291618,29.8797708,"SUNNY FOOD STORE"
"113",-95.668988,29.9178764,"HOLY SMOKES # 7"
"114",-95.6609547,29.8796883,"DON CHEPE MEAT MARKET #3"
"115",-95.6445217,29.8800306,"AVAIL VAPOR TEXAS, LLC"
"116",-95.140416,29.5923348,"SPACE CITY LIQUOR WINE BEER CI"
"117",-95.140416,29.5923348,"SPACE CITY LIQUOR WINE BEER CI"
"118",-95.1203255,29.5779948,"KROGER TEXAS L.P. #300"
"119",-95.1248033,29.5587589,"KROGER TEXAS L.P. #385"
"120",-95.1551398,29.5808519,"WALGREENS # 4538"
"121",-95.1232632,29.557279,"WALGREEN'S #05709"
"122",-95.1118593,29.5741643,"WALGREENS #07005"
"123",-95.1413133,29.5767567,"CIRCLE K #2741419"
"124",-95.1222998,29.5779866,"TIMEWISE FOOD STORE #259"
"125",-95.122584,29.556834,"CLEAR LAKE FOOD MART"
"126",-95.1546714,29.5814346,"CLEAR LAKE SHELL"
"127",-95.120875,29.577409,"FLAK'S LIQUOR"
"128",-95.1388294,29.5921197,"SPACE CENTER CHEVRON #1"
"129",-95.135124,29.5663348,"SNACK ZONE"
"130",-95.140416,29.5923348,"SPACE CITY LIQUOR"
"131",-95.140416,29.5923348,"SPACE CITY LIQUOR"
"132",-95.4622183,29.7370769,"PARADISE GIFTS  # 1"
"133",-95.4582464,29.7575809,"GRANDUCA"
"134",-95.4679771,29.7317033,"EKKO FUEL"
"135",-95.4670915,29.7629887,"EXPRESS MART #11"
"136",-95.4677254,29.7409721,"WALGREENS_#4027"
"137",-95.4793376,29.7647829,"WALGREENS # 4114"
"138",-95.4566188,29.7575464,"LUCHO - LUCHO CIGARS"
"139",-95.4642658,29.7327527,"SPEC'S WINE-SPIRITS & FINER FO"
"140",-95.4659039,29.7337678,"MEN'S CLUB OF HOUSTON"
"141",-95.4653305,29.7493968,"RANDALL'S FOOD AND DRUG #3067"
"142",-95.4769005,29.7310815,"CHIMNEY ROCK SHELL"
"143",-95.4672553,29.7311411,"SAGE FOOD MART"
"144",-95.4703678,29.7440025,"CROWN MART 1"
"145",-95.476791,29.7292499,"CIGAR FACTORY HOYO DE CUBA"
"146",-95.4704497,29.7398498,"THE WEST END"
"147",-95.4767366,29.7285172,"ELAN #5"
"148",-95.475856,29.7374617,"LEAHS BOUTIDUE & GIFT SHOP"
"149",-95.4623002,29.7512355,"TOTAL WINE SPIRITS BEER & MORE"
"150",-95.4680744,29.7376926,"CASA DO BRASIL"
"151",-95.4572666,29.7551745,"EMBAJADORES FINE CIGARS"
"152",-95.4768288,29.7290434,"SUNNY'S FOOD STORE"
"153",-95.4761632,29.7383736,"MR. EXPRESS"
"154",-95.4760198,29.7251864,"MYSTIQ STORES, LLC"
"155",-95.4644579,29.737703,"STAR VAPES"
"156",-95.4636925,29.7368358,"STAR VAPES"
"157",-95.4631205,29.7389671,"UPTOWN CONVENIENCE & GIFTS"
"158",-95.5992313,29.7711345,"KROGER TEXAS L.P. #161"
"159",-95.6084262,29.7705636,"WALGREEN'S #05094"
"160",-95.6072357,29.769218,"SPEC'S LIQUOR STORE #12"
"161",-95.5635738,29.7776409,"SPEC'S #49"
"162",-95.6000317,29.7704469,"CIRCLE K #2740527"
"163",-95.6174172,29.7839348,"CIRCLE K #2741416"
"164",-95.6071946,29.7717896,"RANDALL FOOD & DRUGS #1011"
"165",-95.6437823,29.7759619,"TIMEWISE #831"
"166",-95.6060042,29.7839674,"TIMEWISE #834"
"167",-95.5753478,29.7835931,"TIMEWISE #835"
"168",-95.5902927,29.7712624,"TIMEWISE FOOD STORE #225"
"169",-95.6089804,29.7696627,"TIMEWISE FOOD STORE #267"
"170",-95.5708759,29.7837361,"BRENNER'S STEAKHOUSE"
"171",-95.6068662,29.7703608,"MEMORIAL Q-MART"
"172",-95.5751971,29.78299,"SUNNY'S"
"173",-95.6443405,29.7748675,"EXPRESS FUEL #6"
"174",-95.5692349,29.7837149,"SMOKE N TOKE"
"175",-95.6000951,29.7711339,"SPENCER"
"176",-95.6028416,29.7767494,"TULLY FOOD MART"
"177",-95.5959375,29.783976,"SMOKE ALLEY TWO"
"178",-95.6441109,29.786677,"CHRISTIAN'S TAILGATE"
"179",-95.5740965,29.7838035,"WYCLIFFE AUTOMOTIVE'S"
"180",-95.6000951,29.7711339,"S & R LIQUOR #2"
"181",-95.6000951,29.7711339,"TOP CHOICE CELL PHONE AND SMOK"
"182",-95.5997872,29.7711535,"TOP CHOICE CELLPHONE & GADGETS"
"183",-95.6196305,29.7783429,"STASH BOX INC"
"184",-95.6206498,29.77902,"SMART STOP FOOD STORE"
"185",-95.6451747,29.8713539,"THE GENTS SPOT"
"186",-95.5120749,29.9955045,"SUNNY FOOD STORE"
"187",-95.504985,29.9853111,"CLICK FOOD MART"
"188",-95.5259876,29.9735284,"WALGREENS #07492"
"189",-95.4994941,29.9885114,"WALGREENS 16061"
"190",-95.5309922,29.9817699,"BURKE-DEMARET, INC."
"191",-95.4994008,29.9902291,"SPEC'S WINES AND SPIRITS #54"
"192",-95.5324672,29.9680624,"SPEC'S WINE, SPIRITS, FINER FO"
"193",-95.5087211,29.9797658,"RANDALLS FOOD AND DRUGS #1012"
"194",-95.5071473,29.9826797,"TIMEWISE FOOD STORE #219"
"195",-95.5267696,29.9733476,"ISW CHAMPIONS"
"196",-95.5331241,29.9683538,"CHECKOUT #47"
"197",-95.5079683,29.9818706,"BIZARRE BAZAAR"
"198",-95.5168005,29.9780522,"CONOCO FOOD MART"
"199",-95.505911,29.9990934,"XTRAA MILE #11"
"200",-95.5206981,29.9755291,"TOKIN EDDIE'S"
"201",-95.526194,29.973609,"CHAMPIONS FOOD STORE"
"202",-95.5069868,29.9990138,"CBD SMOKE SHOP"
"203",-95.4990228,29.9879683,"2Q 255123"
"204",-95.5037088,29.984991,"FUEL MAXX #21"
"205",-95.529778,29.972288,"CASA DE MONTECRISTO BY SERIOUS"
"206",-95.5345386,29.9703431,"RUSH #5"
"207",-95.5062748,29.9842044,"PHOENIX RISING VAPOR"
"208",-95.505712,29.9832046,"WILLOWBROOK SMOKE SHOP"
"209",-95.3892043,29.7536139,"GRAY STOP & SHOP"
"210",-95.4054248,29.753836,"KROGER TEXAS L.P. #355"
"211",-95.4031586,29.7527116,"WALGREEN  #03735"
"212",-95.4265017,29.7529879,"RIVER OAKS COUNTRY CLUB"
"213",-95.3928508,29.7571904,"TIMEWISE FOOD STORE #7301"
"214",-95.4104815,29.7431668,"TIMEWISE #849"
"215",-95.4104406,29.7464611,"IRISH PUB-KENNEALLY'S"
"216",-95.3985771,29.7600242,"BAYOU LIQUOR"
"217",-95.410277,29.7489034,"SUPER K FOOD STORE"
"218",-95.4110748,29.7488032,"RICHARDS LIQUORS #2"
"219",-95.4180334,29.7429401,"RICHARD'S LIQUORS #8"
"220",-95.3757499,29.7580444,"SEASIDE LOUNGE"
"221",-95.4060457,29.7538345,"CHALET SPIRITS"
"222",-95.4060457,29.7538345,"CHALET SPIRITS"
"223",-95.3957139,29.7606819,"PARADISE GIFTS #5"
"224",-95.4021257,29.7573427,"DUNLAVY MART"
"225",-95.4060457,29.7538345,"CHALET FINE WINES & LIQUORS"
"226",-95.4060457,29.7538345,"CHALET FINE WINES & LIQUORS"
"227",-95.3988888,29.7598251,"PAPI'S NITE CLUB"
"228",-95.5430057,29.9293026,"KS #32"
"229",-95.5554551,29.9040179,"KROGER TEXAS L.P. #739"
"230",-95.5554933,29.903938,"KROGER KWIK SHOP #739"
"231",-95.5827876,29.9099679,"KROGER FUEL CENTER #311"
"232",-95.5507563,29.9471259,"LA RANCHERITA DELI MINI MART"
"233",-95.5380442,29.9056388,"CIRCLE S FOOD STORE #1"
"234",-95.5529095,29.901479,"TEXAN LIQUOR"
"235",-95.5529095,29.901479,"TEXAN LIQUOR"
"236",-95.5245559,29.9033204,"CIRCLE K #2742731"
"237",-95.5559855,29.9235555,"TIMEWISE #821"
"238",-95.5395257,29.9311306,"SAM HOUSTON RACE PARK LLC"
"239",-95.5698092,29.9098667,"WEST RD CITGO"
"240",-95.5527454,29.9022066,"TEXXCO-MART"
"241",-95.5482752,29.9546826,"COSTCO WHOLESALE #675"
"242",-95.5529095,29.901479,"TEXAN LIQUOR"
"243",-95.5529095,29.901479,"TEXAN LIQUOR"
"244",-95.5464708,29.9527771,"STAR STOP 49"
"245",-95.555924,29.9245264,"2Q 255323"
"246",-95.555924,29.9245264,"2Q 255323"
"247",-95.5451175,29.9306327,"GESSNER 1 STOP SHOP"
"248",-95.52431,29.8983304,"FUEL DEPOT #35"
"249",-95.5527454,29.9022066,"FOREVER VAPES #3"
"250",-95.5529095,29.901479,"SMOKE THERAPY"
"251",-95.5570109,29.9239177,"DEE'S LIQUOR"
"252",-95.5460607,29.9536049,"24 SEVEN #25"
"253",-95.5461017,29.9032063,"RUSH LANE 1"
"254",-95.56864,29.9102989,"BLIND PIG LIQUOR"
"255",-95.543549,29.9032346,"WEST ROAD EXPRESS"
"256",-95.5722913,29.9332045,"THE RIGHT CHOICE"
"257",-95.5722913,29.9332045,"THE RIGHT CHOICE"
"258",-95.5570109,29.9239177,"LOS BURRITOS MEAT MARKET & TAQ"
"259",-95.5402791,29.9522725,"COQUETTE WOMAN"
"260",-95.5654403,29.9272334,"FUEL ZONE"
"261",-95.5240435,29.9016075,"LA GUERRERA MEAT MARKET"
"262",-95.5373542,29.9518491,"REST HOUSE CAFE"
"263",-95.5666094,29.9278372,"SMOKE & FOOD MART"
"264",-95.5650506,29.9276326,"SMOKE ZONE #2"
"265",-95.5641481,29.9299225,"NICK FOOD MART"
"266",-95.5758586,29.9333207,"RITESTOP #3"
"267",-95.5630816,29.945639,"THE HEAD SHOP"
"268",-95.543549,29.9032346,"KROOZIN TOP SHELF LLC"
"269",-95.5243715,29.897089,"LIQUOR HUB"
"270",-95.579656,29.9100819,"IMAN WISSAM LLC"
"271",-95.555924,29.9245264,"SWIFT LEGACY"
"272",-95.555924,29.9245264,"SWIFT LEGACY"
"273",-95.5722913,29.9332045,"THE RIGHT CHOICE"
"274",-95.5722913,29.9332045,"THE RIGHT CHOICE"
"275",-95.580196,29.996208,"KUIFS SHELL #07"
"276",-95.578384,29.9970836,"KS #36"
"277",-95.5704246,29.9787831,"CHECKOUT #45"
"278",-95.5800473,29.9674036,"SHOP N GO #1001"
"279",-95.5795739,29.9371978,"CELAYA SUPERMARKET"
"280",-95.5833599,29.9329989,"LA MICHOACANA MEAT MARKET #34"
"281",-95.5648454,29.9584879,"MC FOOD STORE"
"282",-95.5904175,29.996833,"EXPRESS FOOD STOP #5"
"283",-95.5904175,29.996833,"EXPRESS FOOD STOP #5"
"284",-95.5715167,30.0215685,"SPRING C STORE"
"285",-95.5845568,29.9338284,"BC SMOKE SHOP"
"286",-95.5757991,29.997778,"STATS SPORTS BAR & GRILL"
"287",-95.56583,29.9832988,"KROGER TEXAS L.P. #748"
"288",-95.5824462,29.9514861,"KROGER TEXAS L.P. #371 & FUEL"
"289",-95.5678225,29.9810409,"KROGER FUEL CENTER #748"
"290",-95.5850825,29.9327698,"WALGREENS #05085"
"291",-95.5844569,29.9530671,"WALGREENS #09473"
"292",-95.5603333,30.0003664,"WALGREENS #16465"
"293",-95.5645357,29.9464348,"TNL, INC."
"294",-95.5854828,29.9480256,"KRAZY APE VAPOR & CBD"
"295",-95.5839816,29.9684274,"ORION #1 LIQUOR"
"296",-95.5876264,30.01211,"SPEC'S #56 SPRING CYPRESS"
"297",-95.5844774,29.9545746,"CIRCLE K #2740574"
"298",-95.5643301,29.9455674,"CIRCLE K #2742587"
"299",-95.5763325,29.9954598,"HEB FOOD STORE #099"
"300",-95.5570929,29.9662437,"TETCO #36579H"
"301",-95.5842107,29.9389382,"STRIPES STORE 40966H"
"302",-95.5536856,29.9560289,"7-ELEVEN CONVENIENCE STORE #41"
"303",-95.5536856,29.9560289,"7-ELEVEN CONVENIENCE STORE #41"
"304",-95.5506128,29.9904674,"TIMEWISE FOOD STORE #291"
"305",-95.5472705,29.9618167,"TIMEWISE #824"
"306",-95.5668965,29.9817232,"TIMEWISE #825"
"307",-95.5806818,29.9971664,"TIMEWISE #826"
"308",-95.5711631,29.995048,"LONE STAR TOBACCO"
"309",-95.5760043,29.9951136,"M & R LIQUORS XI"
"310",-95.555965,29.9754984,"PICK N GO"
"311",-95.5665479,29.9834261,"PG LIQUORS"
"312",-95.5519252,29.9606079,"FAMILY DOLLAR STORE #7978"
"313",-95.5841696,29.9485314,"FAMILY DOLLAR STORE #28577"
"314",-95.5858316,30.0064683,"TEXAS PRIDE"
"315",-95.5431525,29.9661763,"TOTAL WINE SPIRITS BEER & MORE"
"316",-95.5681683,29.9425427,"XPRESS SMOKE SHOP"
"317",-95.5644463,29.9583008,"HAPPY DAZE SMOKE SHOP"
"318",-95.6129138,29.7718184,"KEEPPAJEES BROWNIES MARKET"
"319",-95.5536856,29.9560289,"RACEWAY 6925"
"320",-95.5536856,29.9560289,"RACEWAY 6925"
"321",-95.5854007,29.9441565,"SMOKE -N- PUFF"
"322",-95.5713272,29.9676698,"GRANT EXPRESS"
"323",-95.5904175,29.996833,"EZ ROLLERS SMOKE SHOP (HOUSTON"
"324",-95.5904175,29.996833,"EZ ROLLERS SMOKE SHOP (HOUSTON"
"325",-95.5833489,29.9507275,"M & R LIQUOR"
"326",-95.5853186,29.9468618,"BEST STOP #7"
"327",-95.5510639,29.9597886,"FIESTA BEVERAGE MART #20"
"328",-95.5853765,29.9446651,"Z'S MART"
"329",-95.6026587,29.9777111,"QUIK STOP CORNER STORE"
"330",-95.5849525,29.9582578,"MOTION MARKET"
"331",-95.6023303,29.9779951,"LAKEWOOD FOOD MART"
"332",-95.5670664,29.9442702,"LOADED BARRELS"
"333",-95.5833489,29.9507275,"VAPE PLUS CBD"
"334",-95.5864924,29.9654852,"SMOKE ZONE"
"335",-95.5870832,29.9974356,"24 SEVEN #39"
"336",-95.5870832,29.9974356,"24 SEVEN #39"
"337",-95.5858377,29.9543835,"COHERE LLC"
"338",-95.5390028,29.9599148,"VAPE CITY 9"
"339",-95.5845082,29.9448134,"ONE ELEVEN FUEL, LLC"
"340",-95.5644667,29.9591145,"HANDI STOP #89"
"341",-95.592172,29.99722,"BAY LIQUOR"
"342",-95.5814006,29.998564,"SOUND REVOLUTION RECORDS & GIF"
"343",-95.5842743,29.9328297,"DISCOUNT TOBACCO"
"344",-95.5870832,29.9974356,"BRIGHT LIGHT HOLDINGS LLC"
"345",-95.5870832,29.9974356,"BRIGHT LIGHT HOLDINGS LLC"
"346",-95.5639787,29.9694747,"S&K MART LLC"
"347",-95.5853959,29.967795,"SMOKE SHOP STATION LLC"
"348",-95.5849525,29.9582578,"SMO-KING VAPE AND SMOKE SHOP"
"349",-95.4417882,29.7295721,"CHEVRON FOOD MART"
"350",-95.4408467,29.7411127,"WALGREENS #16293"
"351",-95.4408058,29.728169,"TIMEWISE FOOD STORE #234"
"352",-95.4590244,29.7405461,"TIMEWISE FOOD STORE #265"
"353",-95.4378315,29.7381636,"STOP N BUY"
"354",-95.441952,29.7465248,"RIVER OAKS SHELL"
"355",-95.4420338,29.7281186,"PHILLIPS 66"
"356",-95.4419315,29.7419477,"ROBERT'S MOBIL CAR CARE CENTER"
"357",-95.4559125,29.746808,"SAN FELIPE @ 610 CHEVRON"
"358",-95.4513473,29.7272175,"KORNER FOOD MART #3"
"359",-95.4488929,29.7484225,"THE RAILYARD"
"360",-95.4531283,29.7424124,"DAVIDOFF OF GENEVA (RIVER OAKS"
"361",-95.4572969,29.7518829,"THE POST OAK-MASTRO'S-WILLIE G"
"362",-95.4496617,29.7470195,"CHRISTY'S LIQUOR"
"363",-95.4583692,29.7364235,"CASE DE MONTECRISTO BY SERIOUS"
"364",-95.450549,29.7425635,"THE GENTS PLACE"
"365",-95.4592825,29.7414576,"SLAPWOODS LLC"
"366",-95.628442,29.9390793,"CIRCLE A FOOD STORE"
"367",-95.5913922,29.9087751,"EZ FOOD MART"
"368",-95.585878,29.9113929,"VALUE DISCOUNT LIQUOR"
"369",-95.5837183,29.908514,"KROGER TEXAS L.P. #311"
"370",-95.6044838,29.924068,"KROGER TEXAS L.P. #737"
"371",-95.6042457,29.9221087,"KROGER KWIK SHOP #737"
"372",-95.6040858,29.9216652,"WALGREENS #05834"
"373",-95.5839645,29.9040894,"WALGREENS #07348"
"374",-95.6168851,29.9168179,"TNL, INC."
"375",-95.6027759,29.9207807,"MURPHY USA #6706"
"376",-95.5839685,29.9070145,"CIRCLE K #2742321"
"377",-95.5833079,29.9066396,"PROFESSIONAL AMUSEMENT SERVICE"
"378",-95.6150055,29.917027,"SPEEDY STOP FOOD STORE #303"
"379",-95.5861804,29.9111124,"HEB FOOD STORE #657"
"380",-95.6022069,29.9199436,"WAL-MART SUPERCENTER #3297"
"381",-95.6294895,29.9318373,"7-ELEVEN CONVENIENCE STORE #41"
"382",-95.6294895,29.9318373,"7-ELEVEN CONVENIENCE STORE #41"
"383",-95.5841286,29.9049834,"7-ELEVEN CONVENIENCE STORE #41"
"384",-95.5841286,29.9049834,"7-ELEVEN CONVENIENCE STORE #41"
"385",-95.6091549,29.9194284,"MADDOG TOBACCO"
"386",-95.5852776,29.9395235,"T-MART"
"387",-95.5865087,29.9265918,"ON THE ROX SPORTS BAR GRILL"
"388",-95.6297953,29.9381455,"BONAIRE FOOD MART"
"389",-95.605209,29.923461,"CY-FAIR WINE & SPIRITS"
"390",-95.6080567,29.9346404,"ALL SEASONS CONVENIENCE STORE"
"391",-95.5841286,29.9049834,"RACEWAY #6782"
"392",-95.5841286,29.9049834,"RACEWAY #6782"
"393",-95.592764,29.9277888,"FAMILY DOLLAR STORE #5498"
"394",-95.5838003,29.9159873,"HEADLINERS SPORTS BAR"
"395",-95.5842517,29.9249308,"HANDI STOP #67"
"396",-95.6294895,29.9318373,"RACEWAY NO 6884"
"397",-95.6294895,29.9318373,"RACEWAY NO 6884"
"398",-95.584365,29.93077,"GLOBAL CHAOS"
"399",-95.5943331,29.926587,"STEP IN"
"400",-95.6070818,29.9330494,"WORTHAM FOOD MART"
"401",-95.5912486,29.9069119,"WEST ROAD CHEVRON"
"402",-95.6292841,29.9308103,"GUERRERENSE MEAT MARKET #3"
"403",-95.6187203,29.9154723,"HOOKAH2NITE LLC."
"404",-95.5852776,29.917186,"REVOLUTION 2"
"405",-95.5872473,29.9046714,"STEEPLE PARK FOOD STORE"
"406",-95.62837,29.9276605,"BEST BUY LIQUOR"
"407",-95.5960121,29.9266111,"EXPRESS FUEL #8"
"408",-95.62837,29.9276605,"VILLAGE SHELL"
"409",-95.6188953,29.9469681,"K C LIQUOR"
"410",-95.6188953,29.9469681,"GET N GO FOOD STORE"
"411",-95.5840872,29.9137546,"BOGIES WEST"
"412",-95.583081,29.909272,"MIKE'S LIQUOR"
"413",-95.6108682,29.9198048,"PUBLIK RESERVE"
"414",-95.5838003,29.9159873,"SANTA CRUZ SMOKE SHOP"
"415",-95.6108682,29.9198048,"SMOKER EMPIRE"
"416",-95.6287926,29.9322174,"HYPE CITY"
"417",-95.6154875,29.9205893,"APEDO FINE CIGARS"
"418",-95.5852776,29.9395235,"T-MART"
"419",-95.5923977,29.907674,"NEIGHBORHOOD FOOD MART"
"420",-95.5960121,29.9266111,"EXPRESS DAIQUIRI'S"
"421",-95.5628354,29.8324853,"HNJ SHELL"
"422",-95.608693,29.8635118,"FUEL EXPO # 3"
"423",-95.5647019,29.8668118,"I T SHELL"
"424",-95.6124494,29.8797291,"CIRCLE A FOOD STORE #2"
"425",-95.6075231,29.8792173,"529 MARKET"
"426",-95.6070304,29.8646411,"KROGER TEXAS L.P. #396 & FUEL"
"427",-95.6062915,29.8636812,"WALGREEN #09002"
"428",-95.6068662,29.8655492,"NEW LIQUOR & LIQUORS"
"429",-95.6099451,29.8805111,"T & S LIQUOR STORE"
"430",-95.5939776,29.8804927,"CIRCLE S FOOD STORE #2"
"431",-95.5450252,29.8326278,"CIRCLE K #2742255"
"432",-95.608303,29.8625597,"CIRCLE K #2742605"
"433",-95.5629175,29.8669094,"CIRCLE K #2741406"
"434",-95.6213178,29.8797127,"CIRCLE K #2740937"
"435",-95.6055732,29.8966658,"7-ELEVEN CONVENIENCE STORE #41"
"436",-95.6055732,29.8966658,"7-ELEVEN CONVENIENCE STORE #41"
"437",-95.6058297,29.8511861,"CHECKOUT #39"
"438",-95.5697272,29.858963,"SPEEDY FOOD MARKET"
